subject,state,epoch,lzc,pe
02,basal,0,0.43915403196216335,0.6871420761758659
02,basal,1,0.4416348478697567,0.6915051897776769
02,basal,2,0.4398486604162896,0.6872585833982989
02,basal,3,0.4492757608651439,0.6878825879657556
02,basal,4,0.4321085147845984,0.6779123090884891
02,basal,5,0.44133714996084533,0.6793005366291254
02,basal,6,0.43498626123740664,0.6881468253982264
02,basal,7,0.4348870286011029,0.6813038646390525
02,basal,8,0.4379136240083667,0.6915127420808738
02,basal,9,0.44014635832520077,0.6934758046297799
02,basal,10,0.44396681482289435,0.6865838057017527
02,basal,11,0.4453064554129947,0.6909834244467712
02,basal,12,0.44659647968494315,0.6864978523469488
02,basal,13,0.46029058349485813,0.6974019719343593
02,basal,14,0.44808496922949914,0.6956070309392433
02,basal,15,0.4427264068690977,0.7054212815620547
02,basal,16,0.4394021135529227,0.689819813103024
02,basal,17,0.44148599891530105,0.6904066954600793
02,basal,18,0.4449095248677797,0.7019272889551847
02,basal,19,0.4278911277416899,0.6786425899350883
02,basal,20,0.43528395914631784,0.6865405053072758
02,basal,21,0.42689880137865255,0.6810194695467492
02,basal,22,0.43925326459846703,0.6818794350279062
02,basal,23,0.4320092821482947,0.6820517046852131
02,basal,24,0.4524015889087115,0.6913369270206088
02,basal,25,0.4480353529113474,0.6928513102271792
02,basal,26,0.45537856799782345,0.6964315193129212
02,basal,27,0.4413867662789973,0.6968264152626902
02,basal,28,0.43627628550935516,0.6896971310775624
02,basal,29,0.4550312537707604,0.691453478680963
02,basal,30,0.44232947632388275,0.6818510998854797
02,basal,31,0.44684456127570255,0.6818792888658448
02,basal,32,0.44317295373246457,0.6834062615654539
02,basal,33,0.44580261859451337,0.6844136443952321
02,basal,34,0.4467453286393988,0.6932031674773439
02,basal,35,0.44282563950540144,0.6913033475386421
02,basal,36,0.44768803868428436,0.7007006611145284
02,basal,37,0.45984403663149137,0.6900477132715436
02,basal,38,0.4601913508585544,0.6893780393371112
02,sedacao_leve,0,0.4883734195688142,0.7091544989918841
02,sedacao_leve,1,0.4542870089984824,0.6929662476904087
02,sedacao_leve,2,0.45661897595162004,0.6904332605529451
02,sedacao_leve,3,0.46882459021697903,0.7026595378946124
02,sedacao_leve,4,0.4533442989535969,0.6842690536706103
02,sedacao_leve,5,0.4759693400308478,0.7019612476302104
02,sedacao_leve,6,0.48212176348167907,0.7079429999098253
02,sedacao_leve,7,0.4524015889087117,0.698185485589461
02,sedacao_leve,8,0.46937036971664964,0.7112420817621503
02,sedacao_leve,9,0.4700649981707758,0.7032988204607795
02,sedacao_leve,10,0.4649049010829817,0.7002806604157884
02,sedacao_leve,11,0.468477275989916,0.6905464505219914
02,sedacao_leve,12,0.47001538185262376,0.6874277438412907
02,sedacao_leve,13,0.4552793353615197,0.6900002401996063
02,sedacao_leve,14,0.4719504182605465,0.690093268113617
02,sedacao_leve,15,0.4608859793126806,0.6898601474854309
